,t0,p_atm,phi,adiabatic_flame_temperature
0,400.0,5.0,0.5,1602.6487817098882
1,400.0,5.0,0.875,2257.6835629658685
2,400.0,5.0,1.25,2268.823719041914
3,400.0,5.0,1.625,1983.2167222640549
4,400.0,5.0,2.0,1727.9989888274538
5,400.0,13.75,0.5,1602.7515471421136
6,400.0,13.75,0.875,2268.3499228609166
7,400.0,13.75,1.25,2271.788062502691
8,400.0,13.75,1.625,1983.6968718433275
9,400.0,13.75,2.0,1728.078383314781
10,400.0,22.5,0.5,1602.7919613712688
11,400.0,22.5,0.875,2272.3799729319726
12,400.0,22.5,1.25,2272.7673582896664
13,400.0,22.5,1.625,1983.8567623809258
14,400.0,22.5,2.0,1728.1085056389368
15,400.0,31.25,0.5,1602.8160062184359
16,400.0,31.25,0.875,2274.7072623613135
17,400.0,31.25,1.25,2273.2975728807683
18,400.0,31.25,1.625,1983.9436812729314
19,400.0,31.25,2.0,1728.1291437761604
20,400.0,40.0,0.5,1602.832692109699
21,400.0,40.0,0.875,2276.284825385393
22,400.0,40.0,1.25,2273.642002621382
23,400.0,40.0,1.625,1984.0003164392929
24,400.0,40.0,2.0,1728.1471395180774
25,550.0,5.0,0.5,1724.2004804777273
26,550.0,5.0,0.875,2350.5874037346057
27,550.0,5.0,1.25,2375.136242761582
28,550.0,5.0,1.625,2095.4623420863313
29,550.0,5.0,2.0,1841.8674663875604
30,550.0,13.75,0.5,1724.4609518228406
31,550.0,13.75,0.875,2367.0709581108445
32,550.0,13.75,1.25,2380.9723650206884
33,550.0,13.75,1.625,2096.4928269367388
34,550.0,13.75,2.0,1842.0727252064135
35,550.0,22.5,0.5,1724.5621484497437
36,550.0,22.5,0.875,2373.513288357825
37,550.0,22.5,1.25,2382.9033425972734
38,550.0,22.5,1.625,2096.8372465886323
39,550.0,22.5,2.0,1842.1422432889601
40,550.0,31.25,0.5,1724.622007936341
41,550.0,31.25,0.875,2377.2910537045655
42,550.0,31.25,1.25,2383.948138539677
43,550.0,31.25,1.625,2097.0246798977837
44,550.0,31.25,2.0,1842.1815000102029
45,550.0,40.0,0.5,1724.6633914368608
46,550.0,40.0,0.875,2379.876013787734
47,550.0,40.0,1.25,2384.626352330979
48,550.0,40.0,1.625,2097.1468274606477
49,550.0,40.0,2.0,1842.2086624677017
50,700.0,5.0,0.5,1849.0002854409224
51,700.0,5.0,0.875,2440.243763231103
52,700.0,5.0,1.25,2481.6220083740036
53,700.0,5.0,1.625,2213.4856655706617
54,700.0,5.0,2.0,1963.2199636144812
55,700.0,13.75,0.5,1849.620060573708
56,700.0,13.75,0.875,2463.8160337943746
57,700.0,13.75,1.25,2492.714018883054
58,700.0,13.75,1.625,2215.614902011844
59,700.0,13.75,2.0,1963.7330720548946
60,700.0,22.5,0.5,1849.8574603486181
61,700.0,22.5,0.875,2473.38478112071
62,700.0,22.5,1.25,2496.4358069616833
63,700.0,22.5,1.625,2216.3313091612663
64,700.0,22.5,2.0,1963.904481198323
65,700.0,31.25,0.5,1849.9968968162561
66,700.0,31.25,0.875,2479.1037614446477
67,700.0,31.25,1.25,2498.455208583682
68,700.0,31.25,1.625,2216.7221744453877
69,700.0,31.25,2.0,1963.9981965808022
70,700.0,40.0,0.5,1850.0928441571045
71,700.0,40.0,0.875,2483.066100750532
72,700.0,40.0,1.25,2499.767110410936
73,700.0,40.0,1.625,2216.977254737816
74,700.0,40.0,2.0,1964.0598194438392
75,850.0,5.0,0.5,1976.676982125239
76,850.0,5.0,0.875,2526.0687460644576
77,850.0,5.0,1.25,2584.3762091010385
78,850.0,5.0,1.625,2335.5695563449453
79,850.0,5.0,2.0,2090.7168628330346
80,850.0,13.75,0.5,1978.0731523859033
81,850.0,13.75,0.875,2557.5080960546675
82,850.0,13.75,1.25,2603.9955963407983
83,850.0,13.75,1.625,2339.7660245427364
84,850.0,13.75,2.0,2091.921621557667
85,850.0,22.5,0.5,1978.6008297359456
86,850.0,22.5,0.875,2570.7393496045165
87,850.0,22.5,1.25,2610.8410002653513
88,850.0,22.5,1.625,2341.193353127655
89,850.0,22.5,2.0,2092.3252599595107
90,850.0,31.25,0.5,1978.9085411922858
91,850.0,31.25,0.875,2578.804415347835
92,850.0,31.25,1.25,2614.601311594127
93,850.0,31.25,1.625,2341.975447101878
94,850.0,31.25,2.0,2092.5452849125445
95,850.0,40.0,0.5,1979.1192362150402
96,850.0,40.0,0.875,2584.468432411188
97,850.0,40.0,1.25,2617.0585223469116
98,850.0,40.0,1.625,2342.487132927445
99,850.0,40.0,2.0,2092.688948966125
100,1000.0,5.0,0.5,2105.744842707601
101,1000.0,5.0,0.875,2607.7911335570766
102,1000.0,5.0,1.25,2679.784683736695
103,1000.0,5.0,1.625,2459.079127847151
104,1000.0,5.0,2.0,2222.3491345744674
105,1000.0,13.75,0.5,2108.7071626271972
106,1000.0,13.75,0.875,2647.3857085155364
107,1000.0,13.75,1.25,2710.8720178881003
108,1000.0,13.75,1.625,2466.8888266225918
109,1000.0,13.75,2.0,2224.9754149229825
110,1000.0,22.5,0.5,2109.817374610548
111,1000.0,22.5,0.875,2664.5685339115807
112,1000.0,22.5,1.25,2722.444219845209
113,1000.0,22.5,1.625,2469.5891048016133
114,1000.0,22.5,2.0,2225.8633914103802
115,1000.0,31.25,0.5,2110.4612632076596
116,1000.0,31.25,0.875,2675.2297252085245
117,1000.0,31.25,1.25,2728.9733562279857
118,1000.0,31.25,1.625,2471.078578857985
119,1000.0,31.25,2.0,2226.34885802007
120,1000.0,40.0,0.5,2110.900361854468
121,1000.0,40.0,0.875,2682.8126569804613
122,1000.0,40.0,1.25,2733.3043691867815
123,1000.0,40.0,1.625,2472.0569239048027
124,1000.0,40.0,2.0,2226.666110427622
